år,befolkning,døde,folketilvekst,fødselsoverskudd,innflytting,fødte,netto_flytting,utflytting
1951,8524,50,37,125,215,175,-88,303
1952,8561,78,87,126,199,204,-39,238
1953,8648,61,58,97,159,158,-39,198
1954,8706,69,63,125,159,194,-62,221
1955,8769,70,79,87,157,157,-31,188
1956,8848,69,28,110,213,179,-82,295
1957,8876,79,32,74,226,153,-42,268
1958,8908,55,119,111,214,166,8,206
1959,9027,73,60,97,203,170,-37,240
1960,9087,73,58,64,257,137,-4,261
1961,9145,77,101,82,253,159,19,234
1962,9246,76,88,95,246,171,-7,253
1963,9334,85,30,67,277,152,-37,314
1964,9364,72,-37,83,203,155,-120,323
1965,9327,78,69,119,273,197,-50,323
1966,9396,103,17,79,304,182,-38,342
1967,9413,88,90,100,298,188,-10,308
1968,9503,75,75,98,319,173,-26,345
1969,9578,84,178,101,371,185,76,295
1970,9756,93,194,110,505,203,83,422
1971,9950,118,272,71,511,189,195,316
1972,10222,115,540,75,832,190,467,365
1973,10762,93,606,92,863,185,514,349
1974,11368,84,606,130,905,214,476,429
1975,11974,101,271,90,727,191,183,544
1976,12245,104,88,72,543,176,17,526
1977,12333,72,94,96,577,168,-6,583
1978,12427,106,267,63,575,169,203,372
1979,12694,109,230,78,594,187,155,439
1980,12924,112,55,92,510,204,-36,546
1981,12979,118,40,64,480,182,-26,506
1982,13019,106,43,72,537,178,-29,566
1983,13062,98,78,65,478,163,16,462
1984,13140,117,-9,52,423,169,-61,484
1985,13131,101,66,65,414,166,-2,416
1986,13197,117,43,56,504,173,-12,516
1987,13240,107,158,68,526,175,84,442
1988,13398,133,-28,41,453,174,-68,521
1989,13370,124,21,71,413,195,-47,460
1990,13391,116,130,83,499,199,47,452
1991,13521,114,156,70,510,184,85,425
1992,13677,135,36,69,484,204,-39,523
1993,13713,133,68,63,494,196,1,493
1994,13781,123,-59,92,445,215,-140,585
1995,13722,123,25,90,456,213,-59,515
1996,13747,115,-27,72,384,187,-99,483
1997,13720,130,3,109,381,239,-109,490
1998,13723,125,-60,45,381,170,-104,485
1999,13663,121,-19,62,345,183,-81,426
2000,13644,139,-7,56,366,195,-62,428
2001,13637,134,28,30,429,164,-2,431
2002,13665,138,32,16,414,154,17,397
2003,13697,119,130,79,484,198,50,434
2004,13827,124,-12,34,399,158,-49,448
2005,13815,124,85,62,408,186,26,382
2006,13900,132,62,46,499,178,15,484
2007,13962,133,132,46,487,179,89,398
2008,14094,118,63,56,438,174,8,430
2009,14157,115,65,36,438,151,31,407
2010,14222,119,112,50,515,169,54,461
2011,14334,137,53,8,520,145,45,475
2012,14387,141,152,31,552,172,121,431
2013,14539,128,249,35,764,163,213,551
2014,14788,127,21,17,541,144,6,535
2015,14809,137,76,10,559,147,65,494
2016,14885,106,-36,35,559,141,-76,635
2017,14849,115,92,25,596,140,71,525
2018,14943,124,-10,18,485,142,-30,515
2019,14933,120,15,22,547,142,-8,555
2020,14948,119,38,16,587,135,25,562
2021,14986,147,-31,-12,540,135,-21,561
2022,14955,141,47,-3,601,138,50,551
2023,15002,104,191,39,683,143,151,532
2024,15193,137,219,-11,719,126,232,487
2025,15412,140,23,7,514,147,17,497
